Exposure,Theta_A,Seed,Article,t,N,B,A
fair,0.7459743804762068,0,a,0,69,0,69
fair,0.7459743804762068,0,a,1,4,0,4
fair,0.7459743804762068,0,a,2,0,0,0
fair,0.7459743804762068,0,a,3,0,0,0
fair,0.7459743804762068,0,a,4,0,0,0
fair,0.7459743804762068,0,a,5,0,0,0
fair,0.7459743804762068,0,a,6,0,0,0
fair,0.7459743804762068,0,a,7,0,0,0
fair,0.7459743804762068,0,a,8,0,0,0
fair,0.7459743804762068,0,a,9,0,0,0
fair,0.7459743804762068,1,a,0,69,0,69
fair,0.7459743804762068,1,a,1,5,0,5
fair,0.7459743804762068,1,a,2,0,0,0
fair,0.7459743804762068,1,a,3,0,0,0
fair,0.7459743804762068,1,a,4,0,0,0
fair,0.7459743804762068,1,a,5,0,0,0
fair,0.7459743804762068,1,a,6,0,0,0
fair,0.7459743804762068,1,a,7,0,0,0
fair,0.7459743804762068,1,a,8,0,0,0
fair,0.7459743804762068,1,a,9,0,0,0
fair,0.7459743804762068,2,a,0,69,0,69
fair,0.7459743804762068,2,a,1,2,0,2
fair,0.7459743804762068,2,a,2,0,0,0
fair,0.7459743804762068,2,a,3,0,0,0
fair,0.7459743804762068,2,a,4,0,0,0
fair,0.7459743804762068,2,a,5,0,0,0
fair,0.7459743804762068,2,a,6,0,0,0
fair,0.7459743804762068,2,a,7,0,0,0
fair,0.7459743804762068,2,a,8,0,0,0
fair,0.7459743804762068,2,a,9,0,0,0
fair,0.7459743804762068,3,a,0,69,0,69
fair,0.7459743804762068,3,a,1,3,0,3
fair,0.7459743804762068,3,a,2,0,0,0
fair,0.7459743804762068,3,a,3,0,0,0
fair,0.7459743804762068,3,a,4,0,0,0
fair,0.7459743804762068,3,a,5,0,0,0
fair,0.7459743804762068,3,a,6,0,0,0
fair,0.7459743804762068,3,a,7,0,0,0
fair,0.7459743804762068,3,a,8,0,0,0
fair,0.7459743804762068,3,a,9,0,0,0
fair,0.7459743804762068,4,a,0,69,0,69
fair,0.7459743804762068,4,a,1,1,1,0
fair,0.7459743804762068,4,a,2,0,0,0
fair,0.7459743804762068,4,a,3,0,0,0
fair,0.7459743804762068,4,a,4,0,0,0
fair,0.7459743804762068,4,a,5,0,0,0
fair,0.7459743804762068,4,a,6,0,0,0
fair,0.7459743804762068,4,a,7,0,0,0
fair,0.7459743804762068,4,a,8,0,0,0
fair,0.7459743804762068,4,a,9,0,0,0
fair,0.7459743804762068,5,a,0,69,0,69
fair,0.7459743804762068,5,a,1,3,0,3
fair,0.7459743804762068,5,a,2,0,0,0
fair,0.7459743804762068,5,a,3,0,0,0
fair,0.7459743804762068,5,a,4,0,0,0
fair,0.7459743804762068,5,a,5,0,0,0
fair,0.7459743804762068,5,a,6,0,0,0
fair,0.7459743804762068,5,a,7,0,0,0
fair,0.7459743804762068,5,a,8,0,0,0
fair,0.7459743804762068,5,a,9,0,0,0
fair,0.7459743804762068,6,a,0,69,0,69
fair,0.7459743804762068,6,a,1,1,0,1
fair,0.7459743804762068,6,a,2,0,0,0
fair,0.7459743804762068,6,a,3,0,0,0
fair,0.7459743804762068,6,a,4,0,0,0
fair,0.7459743804762068,6,a,5,0,0,0
fair,0.7459743804762068,6,a,6,0,0,0
fair,0.7459743804762068,6,a,7,0,0,0
fair,0.7459743804762068,6,a,8,0,0,0
fair,0.7459743804762068,6,a,9,0,0,0
fair,0.7459743804762068,7,a,0,69,0,69
fair,0.7459743804762068,7,a,1,3,1,2
fair,0.7459743804762068,7,a,2,0,0,0
fair,0.7459743804762068,7,a,3,0,0,0
fair,0.7459743804762068,7,a,4,0,0,0
fair,0.7459743804762068,7,a,5,0,0,0
fair,0.7459743804762068,7,a,6,0,0,0
fair,0.7459743804762068,7,a,7,0,0,0
fair,0.7459743804762068,7,a,8,0,0,0
