Setting,Exposure,Theta_A,Seed,Article,t,N,B,A
network,fair,0.7459743804762068,0,a,0,69,0,69
network,fair,0.7459743804762068,0,a,1,43,3,40
network,fair,0.7459743804762068,0,a,2,16,1,15
network,fair,0.7459743804762068,0,a,3,3,0,3
network,fair,0.7459743804762068,0,a,4,1,0,1
network,fair,0.7459743804762068,0,a,5,1,0,1
network,fair,0.7459743804762068,0,a,6,0,0,0
network,fair,0.7459743804762068,0,a,7,0,0,0
network,fair,0.7459743804762068,0,a,8,0,0,0
network,fair,0.7459743804762068,0,a,9,0,0,0
network,fair,0.7459743804762068,1,a,0,69,0,69
network,fair,0.7459743804762068,1,a,1,40,1,39
network,fair,0.7459743804762068,1,a,2,14,3,11
network,fair,0.7459743804762068,1,a,3,8,4,4
network,fair,0.7459743804762068,1,a,4,3,0,3
network,fair,0.7459743804762068,1,a,5,2,0,2
network,fair,0.7459743804762068,1,a,6,2,0,2
network,fair,0.7459743804762068,1,a,7,1,0,1
network,fair,0.7459743804762068,1,a,8,0,0,0
network,fair,0.7459743804762068,1,a,9,0,0,0
network,fair,0.7459743804762068,2,a,0,69,0,69
network,fair,0.7459743804762068,2,a,1,46,2,44
network,fair,0.7459743804762068,2,a,2,16,2,14
network,fair,0.7459743804762068,2,a,3,6,3,3
network,fair,0.7459743804762068,2,a,4,1,1,0
network,fair,0.7459743804762068,2,a,5,0,0,0
network,fair,0.7459743804762068,2,a,6,0,0,0
network,fair,0.7459743804762068,2,a,7,0,0,0
network,fair,0.7459743804762068,2,a,8,0,0,0
network,fair,0.7459743804762068,2,a,9,0,0,0
network,fair,0.7459743804762068,3,a,0,69,0,69
network,fair,0.7459743804762068,3,a,1,43,2,41
network,fair,0.7459743804762068,3,a,2,19,3,16
network,fair,0.7459743804762068,3,a,3,4,2,2
network,fair,0.7459743804762068,3,a,4,0,0,0
network,fair,0.7459743804762068,3,a,5,0,0,0
network,fair,0.7459743804762068,3,a,6,0,0,0
network,fair,0.7459743804762068,3,a,7,0,0,0
network,fair,0.7459743804762068,3,a,8,0,0,0
network,fair,0.7459743804762068,3,a,9,0,0,0
network,fair,0.7459743804762068,4,a,0,69,0,69
network,fair,0.7459743804762068,4,a,1,37,3,34
network,fair,0.7459743804762068,4,a,2,23,3,20
network,fair,0.7459743804762068,4,a,3,2,1,1
network,fair,0.7459743804762068,4,a,4,0,0,0
network,fair,0.7459743804762068,4,a,5,0,0,0
network,fair,0.7459743804762068,4,a,6,0,0,0
network,fair,0.7459743804762068,4,a,7,0,0,0
network,fair,0.7459743804762068,4,a,8,0,0,0
network,fair,0.7459743804762068,4,a,9,0,0,0
network,fair,0.7459743804762068,5,a,0,69,0,69
network,fair,0.7459743804762068,5,a,1,50,1,49
network,fair,0.7459743804762068,5,a,2,18,1,17
network,fair,0.7459743804762068,5,a,3,8,3,5
network,fair,0.7459743804762068,5,a,4,0,0,0
network,fair,0.7459743804762068,5,a,5,0,0,0
network,fair,0.7459743804762068,5,a,6,0,0,0
network,fair,0.7459743804762068,5,a,7,0,0,0
network,fair,0.7459743804762068,5,a,8,0,0,0
network,fair,0.7459743804762068,5,a,9,0,0,0
network,fair,0.7459743804762068,6,a,0,69,0,69
network,fair,0.7459743804762068,6,a,1,42,5,37
network,fair,0.7459743804762068,6,a,2,22,4,18
network,fair,0.7459743804762068,6,a,3,6,1,5
network,fair,0.7459743804762068,6,a,4,2,0,2
network,fair,0.7459743804762068,6,a,5,0,0,0
network,fair,0.7459743804762068,6,a,6,0,0,0
network,fair,0.7459743804762068,6,a,7,0,0,0
network,fair,0.7459743804762068,6,a,8,0,0,0
network,fair,0.7459743804762068,6,a,9,0,0,0
network,fair,0.7459743804762068,7,a,0,69,0,69
network,fair,0.7459743804762068,7,a,1,32,6,26
network,fair,0.7459743804762068,7,a,2,16,2,14
network,fair,0.7459743804762068,7,a,3,9,0,9
network,fair,0.7459743804762068,7,a,4,7,0,7
network,fair,0.7459743804762068,7,a,5,1,0,1
network,fair,0.7459743804762068,7,a,6,1,0,1
network,fair,0.7459743804762068,7,a,7,0,0,0
network,fair,0.7459743804762068,7,a,8,0,0,0
network,fair,0.7459743804762068,7,a,9,0,0,0
network,fair,0.7459743804762068,8,a,0,69,0,69
network,fair,0.7459743804762068,8,a,1,49,4,45
network,fair,0.7459743804762068,8,a,2,18,3,15
network,fair,0.7459743804762068,8,a,3,7,1,6
network,fair,0.7459743804762068,8,a,4,3,1,2
network,fair,0.7459743804762068,8,a,5,4,1,3
network,fair,0.7459743804762068,8,a,6,0,0,0
network,fair,0.7459743804762068,8,a,7,0,0,0
network,fair,0.7459743804762068,8,a,8,0,0,0
network,fair,0.7459743804762068,8,a,9,0,0,0
network,fair,0.7459743804762068,9,a,0,69,0,69
network,fair,0.7459743804762068,9,a,1,48,5,43
network,fair,0.7459743804762068,9,a,2,21,0,21
network,fair,0.7459743804762068,9,a,3,9,5,4
network,fair,0.7459743804762068,9,a,4,2,2,0
network,fair,0.7459743804762068,9,a,5,0,0,0
network,fair,0.7459743804762068,9,a,6,0,0,0
network,fair,0.7459743804762068,9,a,7,0,0,0
network,fair,0.7459743804762068,9,a,8,0,0,0
network,fair,0.7459743804762068,9,a,9,0,0,0
network,fair,0.7459743804762068,10,a,0,69,0,69
network,fair,0.7459743804762068,10,a,1,40,3,37
network,fair,0.7459743804762068,10,a,2,18,2,16
network,fair,0.7459743804762068,10,a,3,4,0,4
network,fair,0.7459743804762068,10,a,4,0,0,0
network,fair,0.7459743804762068,10,a,5,0,0,0
network,fair,0.7459743804762068,10,a,6,0,0,0
network,fair,0.7459743804762068,10,a,7,0,0,0
network,fair,0.7459743804762068,10,a,8,0,0,0
network,fair,0.7459743804762068,10,a,9,0,0,0
network,fair,0.7459743804762068,11,a,0,69,0,69
network,fair,0.7459743804762068,11,a,1,42,4,38
network,fair,0.7459743804762068,11,a,2,23,1,22
